match_id,game_time,patch,queue_id,puuid,placement,level,gold_left,status,traits,units
NA1_5260355615,2025-04-05 16:02:41.389000+00:00,15.7,1100,-E45uMGggx3vOTDyHOknqk5WpCIL9M5_8fgi2E3ETtzBGVW5lcZul40o16OztovT_vb49qZ9-zPX2g,8,8,1,ok,"TFT14_Armorclad-1,TFT14_BallisTek-0,TFT14_Bruiser-1,TFT14_Cutter-0,TFT14_Cyberboss-0,TFT14_EdgeRunner-2,TFT14_Marksman-0,TFT14_Supercharge-0,TFT14_Swift-0,TFT14_Techie-0,TFT14_Thirsty-0","Jax-2,Poppy-2,Jhin-1,Naafiri-1,Varus-1,Mordekaiser-1,Zeri-2,Chogath-1"
NA1_5260355615,2025-04-05 16:02:41.389000+00:00,15.7,1100,03TxmgwS2Z7v6szM5XPTsSemWtTByCU1t04yeq9fmYy0N3NRq7tkcsPVnsQLAVVJ1zc3pcE5i2_VtQ,7,8,1,ok,"TFT14_Armorclad-2,TFT14_Bruiser-0,TFT14_Cutter-0,TFT14_EdgeRunner-2,TFT14_HotRod-0,TFT14_Marksman-0,TFT14_Suits-0,TFT14_Swift-1,TFT14_Techie-1","Kindred-1,Jax-1,Shyvana-1,Varus-2,Mordekaiser-2,Galio-2,Sejuani-1,Zeri-1"
NA1_5260355615,2025-04-05 16:02:41.389000+00:00,15.7,1100,haxrw5LntpypScQN1t_8FmGAfB6-M0CtkfQqkXtE3fVVjQ7nxaf3yJydulas0L951O2jRXIDKHfnPg,6,8,4,ok,"TFT14_AnimaSquad-3,TFT14_Armorclad-1,TFT14_Controller-0,TFT14_Divinicorp-1,TFT14_Marksman-0,TFT14_Overlord-1,TFT14_Strong-0,TFT14_Supercharge-0,TFT14_Thirsty-0,TFT14_Vanguard-1","Sylas-2,Vayne-1,Illaoi-1,Yuumi-2,Xayah-2,Leona-2,Renekton-1,Aurora-1"
NA1_5260355615,2025-04-05 16:02:41.389000+00:00,15.7,1100,rC9fkNsc87GwPDWnjQugEwcbmONnmQM7nKHt9O1thwtLKeVjRh4xMta5sUbAhFrmVIU6DVAIqMQJLw,5,8,47,ok,"TFT14_AnimaSquad-1,TFT14_Divinicorp-1,TFT14_EdgeRunner-0,TFT14_Immortal-1,TFT14_Marksman-1,TFT14_Mob-0,TFT14_Strong-0,TFT14_Thirsty-2,TFT14_Vanguard-2","Jhin-2,Rhaast-2,Braum-2,Jarvan-2,Xayah-2,Leona-2,Aphelios-2,Aurora-2"
NA1_5260355615,2025-04-05 16:02:41.389000+00:00,15.7,1100,zLXLHSmuSapUIaPhYvGf61Il_wXMm6aVKM4BnmFYRBKLdEbJwQU5zZ3_Z_YwmMVS2nl2sOotD_lvUw,4,8,45,ok,"TFT14_Armorclad-1,TFT14_Bruiser-0,TFT14_EdgeRunner-2,TFT14_HotRod-2,TFT14_Marksman-1,TFT14_Supercharge-1,TFT14_Swift-1,TFT14_Techie-1,TFT14_Thirsty-1","NidaleeCougar-3,Kindred-3,Shyvana-3,Jhin-3,Naafiri-2,Elise-2,Mordekaiser-2,Sejuani-2,Zeri-1,SummonLevel4-4"
NA1_5260355615,2025-04-05 16:02:41.389000+00:00,15.7,1100,xyl8WlkdC3gjg6bRQ73OVFkvROJDHMtca6uqmXiUHCkV5O1IUx1uzqJ17zOMgQRcncH_exIITimFoA,3,8,3,ok,"TFT14_AnimaSquad-1,TFT14_Divinicorp-2,TFT14_Immortal-0,TFT14_Netgod-1,TFT14_StreetDemon-0,TFT14_Strong-2,TFT14_Suits-0,TFT14_Vanguard-2","Sylas-2,Vayne-3,Rhaast-2,Senna-2,Jarvan-3,Zed-2,Leona-2,Garen-1"
NA1_5260355615,2025-04-05 16:02:41.389000+00:00,15.7,1100,KXDZjtJQtB9BKcaNTotwxfUmboiYoiyRwrj1_huoRbjjX_UAZ_yzvpQshwsah1tjofPkAw-8vcijKQ,2,10,1,ok,"TFT14_Armorclad-0,TFT14_BallisTek-2,TFT14_Bruiser-3,TFT14_Cutter-0,TFT14_Cyberboss-1,TFT14_Divinicorp-1,TFT14_EdgeRunner-0,TFT14_HotRod-0,TFT14_Immortal-0,TFT14_Mob-0,TFT14_Techie-3,TFT14_ViegoUniqueTrait-1","Veigar-2,Darius-2,Shyvana-1,Mordekaiser-2,Fiddlesticks-3,Gragas-3,Chogath-2,Urgot-1,Kobuko-2,Viego-2,Garen-1"
NA1_5260355615,2025-04-05 16:02:41.389000+00:00,15.7,1100,6Acb6butaUCYKh8kxrBtI04TOTKIq23qcnvjjcLOvNe67Yfn-O4CTAnCPajCXQCX2Bbw9s0u-GWgCg,1,10,2,ok,"TFT14_AnimaSquad-0,TFT14_Armorclad-1,TFT14_Bruiser-0,TFT14_Controller-4,TFT14_Cyberboss-1,TFT14_Divinicorp-1,TFT14_Overlord-1,TFT14_StreetDemon-0,TFT14_Suits-1,TFT14_Supercharge-0,TFT14_Swift-0,TFT14_Virus-1","Ekko-2,LeBlanc-3,Draven-2,Galio-2,Yuumi-3,Neeko-2,Ziggs-2,Zac-2,Renekton-2,Kobuko-2"
NA1_5259556512,2025-04-04 14:43:30.576000+00:00,15.7,1100,uQJwD6OwnU3yUJGMghlq7rQ7st7ehTvsuSfW031HwFQmXhZBjLp2At5YuFdwWXV_RlvxEK3g1Z2I9g,3,8,11,ok,"TFT14_AnimaSquad-0,TFT14_Bruiser-0,TFT14_Controller-3,TFT14_Cyberboss-1,TFT14_Immortal-1,TFT14_StreetDemon-1,TFT14_Supercharge-2,TFT14_Techie-0,TFT14_ViegoUniqueTrait-1","Ekko-1,Yuumi-2,Neeko-1,Ziggs-2,Annie-2,Samira-1,Kobuko-2,Viego-2,Leona-2"
NA1_5259556512,2025-04-04 14:43:30.576000+00:00,15.7,1100,rC9fkNsc87GwPDWnjQugEwcbmONnmQM7nKHt9O1thwtLKeVjRh4xMta5sUbAhFrmVIU6DVAIqMQJLw,8,8,11,ok,"TFT14_AnimaSquad-0,TFT14_Controller-4,TFT14_Cyberboss-0,TFT14_Netgod-1,TFT14_StreetDemon-1,TFT14_Suits-0,TFT14_Supercharge-1,TFT14_Thirsty-0","Ekko-1,LeBlanc-2,Yuumi-2,Neeko-1,Ziggs-1,Ziggs-1,Samira-1,Garen-2,Aurora-1"
NA1_5259556512,2025-04-04 14:43:30.576000+00:00,15.7,1100,oZFUI2MM9GeGkQtXNHOEoL9svlDfXljYNsqVdi_alSG_j4LrTyNed8WJFl2lZjaUjZjvTZQCy5mfZg,2,9,6,ok,"TFT14_AnimaSquad-1,TFT14_Divinicorp-2,TFT14_Immortal-0,TFT14_Mob-0,TFT14_Strong-0,TFT14_Suits-0,TFT14_Techie-0,TFT14_Thirsty-1,TFT14_Vanguard-3","Morgana-2,Sylas-3,Vi-3,Seraphine-3,Rhaast-2,Braum-2,Jarvan-1,Leona-1,Aurora-1"
NA1_5259556512,2025-04-04 14:43:30.576000+00:00,15.7,1100,fZzZS2nlsgD8VhSMH8RXUJjo7uX9PcO0643acuchrLRiQX6kVfT_TlFyLu12GYHDprlrBzqc06RUCw,7,8,0,ok,"TFT14_AnimaSquad-0,TFT14_Bruiser-0,TFT14_Controller-3,TFT14_Cyberboss-0,TFT14_EdgeRunner-0,TFT14_Immortal-0,TFT14_Netgod-1,TFT14_StreetDemon-1,TFT14_Supercharge-2,TFT14_Techie-0","Ekko-2,Mordekaiser-2,Yuumi-2,Neeko-1,Ziggs-1,Annie-1,Samira-1,Garen-1"
NA1_5259556512,2025-04-04 14:43:30.576000+00:00,15.7,1100,XVFPnGC3XmxZLF1SChYuunyX3rjz1uzAfeemuzeYRX-tMsgB_6qfYPGXNp8e0XxQqQRgzAtglOPojA,5,8,7,ok,"TFT14_BallisTek-0,TFT14_Bruiser-1,TFT14_Controller-0,TFT14_Cutter-4,TFT14_Cyberboss-0,TFT14_Divinicorp-1,TFT14_EdgeRunner-0,TFT14_StreetDemon-1,TFT14_Strong-0,TFT14_Supercharge-0","DrMundo-2,Rengar-3,Varus-3,Neeko-2,Vex-2,Samira-1,Urgot-1,Kobuko-1"
NA1_5259556512,2025-04-04 14:43:30.576000+00:00,15.7,1100,tAiH5XFS_1fVj4aZSSC32GhahERYy2SU1kAqr1WiPx7M6COKqJ9D51pjc72I5mMMWcJTCLqa-sYqwQ,6,8,58,ok,"TFT14_AnimaSquad-1,TFT14_Divinicorp-1,TFT14_EdgeRunner-0,TFT14_Immortal-1,TFT14_Marksman-2,TFT14_StreetDemon-0,TFT14_Strong-0,TFT14_Thirsty-0,TFT14_Vanguard-2","Sylas-1,Jhin-1,Rhaast-2,Jinx-1,Jarvan-2,Xayah-1,Leona-2,Aphelios-2"
NA1_5259556512,2025-04-04 14:43:30.576000+00:00,15.7,1100,_AUSYbCrz4t9BGqFMSvklo5TlozKw4EDlJpBrBYqB8MS0HnwQMPKvc-JejYuUZuUJaeQB_NsCZ3qiQ,4,9,0,ok,"TFT14_AnimaSquad-0,TFT14_Armorclad-0,TFT14_Bruiser-0,TFT14_Divinicorp-3,TFT14_HotRod-0,TFT14_Mob-1,TFT14_Netgod-1,TFT14_Overlord-1,TFT14_Thirsty-2,TFT14_Vanguard-1,TFT14_Virus-1","Morgana-2,Darius-2,Rhaast-2,Braum-2,Elise-2,MissFortune-2,Leona-2,Zac-1,Renekton-1,Garen-1"
NA1_5259556512,2025-04-04 14:43:30.576000+00:00,15.7,1100,tgfWde6Y0DoqU5UtbYGptVhFxD_R0M1N4bmPL_YRxxeyXUQN2kcmXtsIJPh_Us5Qw4VjLvx7pzafsQ,1,9,7,ok,"TFT14_Bruiser-1,TFT14_Controller-2,TFT14_Cutter-0,TFT14_Cyberboss-1,TFT14_StreetDemon-3,TFT14_Strong-0,TFT14_Supercharge-0,TFT14_Techie-1","Zyra-2,DrMundo-2,Ekko-2,Rengar-2,Neeko-2,Brand-2,Ziggs-2,Samira-2,Kobuko-2"
NA1_5259227899,2025-04-04 02:49:05.216000+00:00,15.7,1100,JX7S9DmQefkKLcgdlpz8JA5F1xP99IMQeJmHh8IUnnpHU7dWkJLjOS4bj0FkRDEiV1t84cQ4n_u8iA,4,8,0,ok,"TFT14_BallisTek-1,TFT14_Bruiser-3,TFT14_Cyberboss-0,TFT14_Divinicorp-1,TFT14_EdgeRunner-0,TFT14_Immortal-0,TFT14_Mob-0,TFT14_Netgod-1,TFT14_Techie-1","Alistar-2,Darius-2,Mordekaiser-2,Fiddlesticks-3,Gragas-2,Chogath-2,Garen-1,Kobuko-1"
NA1_5259227899,2025-04-04 02:49:05.216000+00:00,15.7,1100,_qVzWRb6dvA8NVlQb3sz9P09xyDTlJHIvW3bCCe6TkxA07OYKlvw1lZNXbjscHdEWkVoMPYsFHyPvw,8,7,0,ok,"TFT14_Armorclad-1,TFT14_EdgeRunner-1,TFT14_HotRod-2,TFT14_Marksman-1,TFT14_Supercharge-0,TFT14_Swift-0,TFT14_Techie-0,TFT14_Thirsty-1","NidaleeCougar-3,Kindred-3,Jax-3,Shyvana-2,Jhin-1,Elise-2,Sejuani-1,SummonLevel2-3"
